Description,Monthly_Installment,List_Price,Model,Mileage,Gear_Type,Location
2018/2021 Mercedes-Benz CLA250 2.0 4MATIC Coupe - Coup AMG Line e Year Made Panoramic Glass Sunroof Harmon Kardon Sound System 3 Year WARRANTY,"RM 1,426 / month","RM 110,000",Mercedes-Benz CLA250,60 - 65K KM,Automatic,"Selangor, Petaling Jaya"
2021 Honda CR-V 2.0 SUV - Facelift 1Owner Macam Baru,"RM 1,086 / month","RM 83,800",Honda CR-V,40 - 45K KM,Automatic,"Perak, Sitiawan"
2020 BMW 530i 2.0 M Sport Sedan - FULL SERVICE RECORD AND WARRANTY BY AUTO MALAYSIA),"RM 2,020 / month","RM 155,800",BMW 530i,90 - 95K KM,Automatic,"Selangor, Kajang"
2022 Porsche 718 4.0 Cayman GT4 RS Coupe - LOCAL UNIT PRICING INCLUDE DUTY,"RM 15,298 / month","RM 1,180,000",Porsche 718,0 - 5K KM,Automatic,"Selangor, Petaling Jaya"
2018 BMW 530i 2.0 M Sport Sedan - FULL SERVICE RECORD AND WARRANTY BY AUTO MALAYSIA),"RM 1,812 / month","RM 139,800",BMW 530i,70 - 75K KM,Automatic,"Selangor, Kajang"
2024 Mercedes-Benz E300 2.0 AMG Line Sedan - Full Service Record Under WARRANTY BY C C MALAYSIA TILL 2029,"RM 3,368 / month","RM 259,800",Mercedes-Benz E300,30 - 35K KM,Automatic,"Selangor, Kajang"
2020 BMW 530i 2.0 M Sport Sedan - FULL SERVICE RECORD AND WARRANTY BY AUTO MALAYSIA),"RM 2,020 / month","RM 155,800",BMW 530i,60 - 65K KM,Automatic,"Selangor, Kajang"
2020 BMW 530i 2.0 M Sport Sedan - FULL SERVICE RECORD AND WARRANTY BY AUTO MALAYSIA),"RM 2,046 / month","RM 157,800",BMW 530i,40 - 45K KM,Automatic,"Selangor, Kajang"
"2021 BMW 320i 2.0 Sport Driving Assist Pack Sedan - M- F.S.R BY , UNDER WARRANTY TIL 2029 , MEMORY SEAT , PADDLE SHIFT , WIRELESS CHARGING , BLIND","RM 1,605 / month","RM 123,800",BMW 320i,60 - 65K KM,Automatic,"Selangor, Kajang"
2019 Mercedes-Benz C200 1.5 Avantgarde Sedan,"RM 1,294 / month","RM 99,800",Mercedes-Benz C200,45 - 50K KM,Automatic,"Johor, Johor Bahru"
"2021 BMW 320i 2.0 Sport Driving Assist Pack Sedan - M- Sport F.S.R BY , MEMORY SEAT , PADDLE SHIFT , WIRELESS CHARGING ,","RM 1,605 / month","RM 123,800",BMW 320i,45 - 50K KM,Automatic,"Selangor, Kajang"
2021 Perodua Ativa 1.0 AV SUV - UNDER WARRANTY,RM 659 / month,"RM 50,800",Perodua Ativa,95 - 100K KM,Automatic,"Kuala Lumpur, Cheras"
2016 Nissan X-Trail 2.0 SUV - 5 years warranty low mileage,RM 762 / month,"RM 58,800",Nissan X-Trail,100 - 105K KM,Automatic,"Selangor, Kajang"
"2021 BMW 320i 2.0 Sport Driving Assist Pack Sedan - FULLY M-SPORT F.S.R BY , UNDER WARRANTY TIL 2026 , MEMORY SEAT , PADDLE SHIFT , WIRELESS CHARGING","RM 1,631 / month","RM 125,800",BMW 320i,70 - 75K KM,Automatic,"Selangor, Kajang"
2017 Perodua Bezza 1.3 X Premium Sedan - NO PROCESSING CHARGE,RM 296 / month,"RM 22,800",Perodua Bezza,100 - 105K KM,Automatic,"Kuala Lumpur, Cheras"
"2021 BMW 320i 2.0 Sport Driving Assist Pack Sedan - F.S.R BY , UNDER WARRANTY TIL 2026 , MEMORY SEAT , PADDLE SHIFT , WIRELESS CHARGING , BLIND SPO","RM 1,605 / month","RM 123,800",BMW 320i,0 - 5K KM,Automatic,"Selangor, Kajang"
2023 Perodua Ativa 1.0 AV SUV - UNDER WARRANTY,RM 697 / month,"RM 53,800",Perodua Ativa,30 - 35K KM,Automatic,"Kuala Lumpur, Cheras"
2025 Perodua Aruz 1.5 AV SUV - FULL SERVICE UNDER WARRANTY,RM 827 / month,"RM 63,800",Perodua Aruz,10 - 15K KM,Automatic,"Kuala Lumpur, Cheras"
"2021 BMW 320i 2.0 Sport Driving Assist Pack Sedan - FULLY M-SPORT F.S.R BY , MEMORY SEAT , PADDLE SHIFT , WIRELESS CHARGING , B","RM 1,592 / month","RM 122,800",BMW 320i,75 - 80K KM,Automatic,"Selangor, Kajang"
2021 BMW 320i 2.0 Sport Driving Assist Pack Sedan - FSR BY MALAYSIA SUPER NICE CAR,"RM 1,618 / month","RM 124,800",BMW 320i,85 - 90K KM,Automatic,"Selangor, Kajang"
2020 Mercedes-Benz AMG CLA45 2.0 S 4MATIC+ Coupe - S 4MATIC FSR LOCAL,"RM 3,368 / month","RM 259,800",Mercedes-Benz AMG CLA45,40 - 45K KM,Automatic,"Selangor, Petaling Jaya"
"2023 Nissan Almera 1.0 VLT Sedan - , UNDER WARRANTY TILL 2028 MARCH , FULL SERVICE RECORD , MONTHLY 725 , APPLE CAR PLAY , 360 CAMERA 1 OWNER",RM 762 / month,"RM 58,800",Nissan Almera,75 - 80K KM,Automatic,"Selangor, Kajang"
"2022 BMW 320i 2.0 M Sport Runout Edition Sedan - M Sport Runout FULLY M-SPORT F.S.R BY , UNDER WARRANTY TIL 2026 , MEMORY SEAT , PADDLE SHIFT , WIRELESS CHARGING","RM 1,774 / month","RM 136,800",BMW 320i,35 - 40K KM,Automatic,"Selangor, Kajang"
"2022 BMW 320i 2.0 M Sport Runout Edition Sedan - F.S.R BY , MEMORY SEAT , PADDLE SHIFT , WIRELESS CHARGING , BLIND SPO","RM 1,774 / month","RM 136,800",BMW 320i,60 - 65K KM,Automatic,"Selangor, Kajang"
"2022 BMW 320i 2.0 M Sport Runout Edition Sedan - Runout Edition FULLY M-SPORT F.S.R BY , UNDER WARRANTY TIL 2026 , MEMORY SEAT , PADDLE SHIFT , WIRELESS C","RM 1,799 / month","RM 138,800",BMW 320i,50 - 55K KM,Automatic,"Selangor, Kajang"
"2022 BMW 320i 2.0 M Sport Runout Edition Sedan - FULLY M-SPORT F.S.R BY , UNDER WARRANTY TIL 2026 , MEMORY SEAT , PADDLE SHIFT , WIRELESS CHARGING","RM 1,786 / month","RM 137,800",BMW 320i,50 - 55K KM,Automatic,"Selangor, Kajang"
"2022 BMW 320i 2.0 M Sport Runout Edition Sedan - FULLY M-SPORT F.S.R BY , UNDER WARRANTY TIL 2026 , MEMORY SEAT , PADDLE SHIFT , WIRELESS CHARGING","RM 1,774 / month","RM 136,800",BMW 320i,70 - 75K KM,Automatic,"Selangor, Kajang"
"2022 BMW 320i 2.0 M Sport Runout Edition Sedan - Runout Edition F.S.R BY , MEMORY SEAT , PADDLE SHIFT , WIRELESS CHARGING","RM 1,761 / month","RM 135,800",BMW 320i,25 KM,Automatic,"Selangor, Kajang"
2020 Mercedes-Benz C300 2.0 AMG Line Sedan,"RM 2,020 / month","RM 155,800",Mercedes-Benz C300,75179 KM,Automatic,"Selangor, Petaling Jaya"
2016 Proton Iriz 1.6 Executive Hatchback,RM 290 / month,"RM 22,400",Proton Iriz,147234 KM,Automatic,"Selangor, Cheras"
2018 Toyota Vios 1.5 E Sedan,RM 686 / month,"RM 52,900",Toyota Vios,93381 KM,Automatic,"Johor, Masai"
2021 Honda City 1.5 E Sedan,RM 775 / month,"RM 59,800",Honda City,39351 KM,Automatic,"Kedah, Alor Setar"
2021 Perodua Myvi 1.5 AV Hatchback,RM 591 / month,"RM 45,600",Perodua Myvi,99438 KM,Automatic,"Johor, Masai"
2020 Honda Civic 1.5 TC-P Sedan,"RM 1,125 / month","RM 86,800",Honda Civic,80 - 85K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2018 BMW X5 2.0 xDrive40e M Sport SUV - (A) FULL SERVICE RECORD FROM AUTO BRAVARIA UNDER WARRANTY FROM AUTO BRAVARIA -,"RM 1,125 / month","RM 86,800",BMW X5,80 - 85K KM,Automatic,"Selangor, Kajang"
2015 Nissan Serena 2.0 S-Hybrid High-Way Star Premium MPV - FREE WARRANTY LOW MILEAGE LEATHER SEAT LED HEADLAMP WITH DRL,RM 438 / month,"RM 33,770",Nissan Serena,95 - 100K KM,Automatic,"Selangor, Seri Kembangan"
2018 BMW X5 2.0 xDrive40e M Sport SUV - FULL SERVICE RECORD FROM AUTO BRAVARIA UNDER WARRANTY FROM AUTO BRAVARIA TILL 2026,"RM 1,125 / month","RM 86,800",BMW X5,60 - 65K KM,Automatic,"Selangor, Kajang"
2018 BMW X5 2.0 xDrive40e M Sport SUV - FULL SERVICE RECORD FROM AUTO BRAVARIA UNDER WARRANTY FROM AUTO BRAVARIA - TILL 2025 -,"RM 1,099 / month","RM 84,800",BMW X5,100 - 105K KM,Automatic,"Selangor, Kajang"
2018 BMW X5 2.0 xDrive40e M Sport SUV - FULL SERVICE RECORD FROM AUTO BRAVARIA UNDER WARRANTY FROM AUTO BRAVARIA - TILL 2025,"RM 1,086 / month","RM 83,800",BMW X5,75 - 80K KM,Automatic,"Selangor, Kajang"
2018 BMW X5 2.0 xDrive40e M Sport SUV - FULL SERVICE 60k mill only RECORD FROM AUTO BRAVARIA UNDER WARRANTY FROM AUTO BRAVARIA,"RM 1,099 / month","RM 84,800",BMW X5,60 - 65K KM,Automatic,"Selangor, Kajang"
2019 Nissan Almera 1.5 E Sedan - FREE WARRANTY PREMIUM LEATHER SEAT LOW MILEAGE,RM 334 / month,"RM 25,770",Nissan Almera,80 - 85K KM,Automatic,"Selangor, Seri Kembangan"
2018 Mercedes-Benz GLC250 2.0 4MATIC AMG Line SUV,"RM 1,644 / month","RM 126,800",Mercedes-Benz GLC250,90 - 95K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2019 Honda HR-V 1.8 V SUV,RM 861 / month,"RM 66,400",Honda HR-V,95 - 100K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2018 Toyota Vellfire 2.5 ZG MPV - FREE WARRANTY PILOT SEAT SUNROOF POWER BOOT FACELIFT 3 EYES HEADLAMP,"RM 1,799 / month","RM 138,770",Toyota Vellfire,70 - 75K KM,Automatic,"Selangor, Seri Kembangan"
2016 Toyota Vellfire 2.5 ZG MPV,"RM 1,784 / month","RM 137,600",Toyota Vellfire,100 - 105K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2019 BMW X5 2.0 xDrive40e M Sport SUV - FULL SERVICE RECORD FROM AUTO BRAVARIA UNDER WARRANTY FROM AUTO BRAVARIA,"RM 1,112 / month","RM 85,800",BMW X5,100 - 105K KM,Automatic,"Selangor, Kajang"
2019 Honda BR-V 1.5 V SUV,RM 647 / month,"RM 49,900",Honda BR-V,85 - 90K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2015 Toyota Alphard 3.5 G Executive Lounge MPV - FREE WARRANTY SUNROOF JBL SOUND SYSTEM POWER BOOT HOME THEATER PILOT SEAT,"RM 1,488 / month","RM 114,770",Toyota Alphard,90 - 95K KM,Automatic,"Selangor, Seri Kembangan"
2021 Nissan Serena 2.0 S-Hybrid High-Way Star (2 Tone) MPV,"RM 1,127 / month","RM 86,900",Nissan Serena,70 - 75K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2020 Perodua AXIA 1.0 G Hatchback,RM 373 / month,"RM 28,800",Perodua AXIA,95 - 100K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2024 Honda HR-V 1.5 e:HEV RS SUV - eHEV RS,"RM 1,541 / month","RM 118,900",Honda HR-V,15 - 20K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2015 Toyota Camry 2.5 Hybrid Sedan - FREE WARRANTY LOW MILEAGE DUAL LED HEADLAMP POWERED LEATHER SEAT,RM 529 / month,"RM 40,770",Toyota Camry,45 - 50K KM,Automatic,"Selangor, Seri Kembangan"
2022 Toyota Hilux 2.8 Rogue Dual Cab Pickup,"RM 1,540 / month","RM 118,800",Toyota Hilux,50 - 55K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2023 Proton X50 1.5 Executive SUV,RM 913 / month,"RM 70,400",Proton X50,15 - 20K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2016 Toyota Camry 2.5 Hybrid Sedan - FREE WARRANTY LOW MILEAGE DUAL PROJECTER HEADLAMP PUSH START,RM 554 / month,"RM 42,770",Toyota Camry,150 - 155K KM,Automatic,"Selangor, Seri Kembangan"
2021 Perodua Ativa 1.0 H SUV,RM 678 / month,"RM 52,300",Perodua Ativa,95 - 100K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2012 Proton Inspira 2.0 Executive (Metallic) Sedan,RM 310 / month,"RM 23,900",Proton Inspira,205 - 210K KM,Automatic,"Pahang, Kuantan"
2014 Toyota Camry 2.0 G Sedan - FREE WARRANTY BLACK INTERIOR PUSH START,RM 516 / month,"RM 39,770",Toyota Camry,135 - 140K KM,Automatic,"Selangor, Seri Kembangan"
2023 Perodua Ativa 1.0 AV SUV,RM 796 / month,"RM 61,400",Perodua Ativa,25 - 30K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2019 Proton X70 1.8 Premium SUV,RM 697 / month,"RM 53,800",Proton X70,85 - 90K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2019 BMW X5 2.0 xDrive40e M Sport SUV - FULL SERVICE RECORD FROM AUTO BRAVARIA UNDER WARRANTY FROM AUTO BRAVARIA,"RM 1,138 / month","RM 87,800",BMW X5,55 - 60K KM,Automatic,"Selangor, Kajang"
2022 Toyota Corolla Altis 1.8 G Sedan - FREE WARRANTY LOW MILEAGE FACELIFT MODEL PADDLE SHIFT LEATHER SEAT 360 SURROUND CAMERA,"RM 1,086 / month","RM 83,770",Toyota Corolla Altis,55 - 60K KM,Automatic,"Selangor, Seri Kembangan"
2020 Perodua Myvi 1.5 H Hatchback,RM 602 / month,"RM 46,400",Perodua Myvi,45 - 50K KM,Automatic,"Johor, Masai"
2017 Honda CR-V 1.5 TC-P SUV - NEW YEAR PROMOTION,"RM 1,024 / month","RM 79,000",Honda CR-V,115 - 120K KM,Automatic,"Negeri Sembilan, Seremban"
2025 BMW 218 1.5 Gran Sport Coupe,"RM 2,201 / month","RM 169,800",BMW 218,10 - 15K KM,Automatic,"Kuala Lumpur, Jalan Kuching"
2020 Toyota Hilux 2.8 Rogue Dual Cab Pickup,"RM 1,374 / month","RM 106,000",Toyota Hilux,120 - 125K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2017 Honda Accord 2.4 VTi-L Sedan,RM 908 / month,"RM 70,000",Honda Accord,115 - 120K KM,Automatic,"Kelantan, Kota Bharu"
2018 Honda CR-V 1.5 TC-P SUV,"RM 1,125 / month","RM 86,800",Honda CR-V,85 - 90K KM,Automatic,"Kelantan, Kota Bharu"
2018 Toyota Corolla Altis 1.8 G Sedan - FREE WARRANTY LOW MILEAGE LEATHER SEAT PUSH START,RM 710 / month,"RM 54,770",Toyota Corolla Altis,55 - 60K KM,Automatic,"Selangor, Seri Kembangan"
2021 Proton Saga 1.3 Premium Sedan - Full Spec (A) 5-YRS Warranty,RM 322 / month,"RM 24,800",Proton Saga,60 - 65K KM,Automatic,"Perak, Sitiawan"
2014 Volkswagen Beetle 1.2 TSI Coupe,RM 589 / month,"RM 45,400",Volkswagen Beetle,98285 KM,Automatic,"Selangor, Petaling Jaya"
2016 Perodua Alza 1.5 Advance MPV,RM 459 / month,"RM 35,400",Perodua Alza,115 - 120K KM,Automatic,"Kelantan, Kota Bharu"
2014 Proton Persona 1.6 SV Sedan,RM 194 / month,"RM 15,000",Proton Persona,106609 KM,Automatic,"Johor, Masai"
2016 Mazda CX-3 2.0 SKYACTIV-G SUV,RM 640 / month,"RM 49,400",Mazda CX-3,131553 KM,Automatic,"Kuala Lumpur, Setiawangsa"
2017 Honda BR-V 1.5 V SUV,RM 537 / month,"RM 41,400",Honda BR-V,168013 KM,Automatic,"Kuala Lumpur, Setiawangsa"
2016 Honda Jazz 1.5 V Hatchback,RM 620 / month,"RM 47,800",Honda Jazz,109992 KM,Automatic,"Johor, Masai"
2016 Toyota Vios 1.5 E Sedan,RM 524 / month,"RM 40,400",Toyota Vios,129728 KM,Automatic,"Kuala Lumpur, Setiawangsa"
2016 Honda City 1.5 S Plus Sedan,RM 464 / month,"RM 35,800",Honda City,121617 KM,Automatic,"Kuala Lumpur, Setiawangsa"
2012 Perodua Myvi 1.3 EZi Hatchback,RM 244 / month,"RM 18,800",Perodua Myvi,125 - 130K KM,Automatic,"Kelantan, Kota Bharu"
2019 Mercedes-Benz C300 2.0 AMG Line Sedan,"RM 1,828 / month","RM 141,000",Mercedes-Benz C300,31289 KM,Automatic,"Kuala Lumpur, Setiawangsa"
2019 BMW X5 2.0 xDrive40e M Sport SUV - FULL SERVICE RECORD FROM AUTO BRAVARIA UNDER WARRANTY FROM AUTO BRAVARIA,"RM 1,125 / month","RM 86,800",BMW X5,90 - 95K KM,Automatic,"Selangor, Kajang"
2021 Toyota Yaris 1.5 E Hatchback - FACELIFT WITH LED HEADLAMP 360 SURROUND CAMERA FREE WARRANTY,RM 658 / month,"RM 50,770",Toyota Yaris,55 - 60K KM,Automatic,"Selangor, Seri Kembangan"
2018 Perodua AXIA 1.0 SE Hatchback,RM 355 / month,"RM 27,400",Perodua AXIA,103175 KM,Automatic,"Kuala Lumpur, Setiawangsa"
2015 Honda Jazz 1.5 E Hatchback,RM 519 / month,"RM 40,000",Honda Jazz,158056 KM,Automatic,"Kuala Lumpur, Setiawangsa"
2017 Mazda CX-5 2.0 SKYACTIV-G GLS SUV,RM 804 / month,"RM 62,000",Mazda CX-5,138012 KM,Automatic,"Kuala Lumpur, Setiawangsa"
2013 Perodua Alza 1.5 EZi MPV,RM 329 / month,"RM 25,400",Perodua Alza,134252 KM,Automatic,"Kuala Lumpur, Setiawangsa"
2018 Perodua Myvi 1.5 AV Hatchback,RM 506 / month,"RM 39,000",Perodua Myvi,102789 KM,Automatic,"Johor, Masai"
2018 Perodua Bezza 1.3 Advance Sedan,RM 428 / month,"RM 33,000",Perodua Bezza,90635 KM,Automatic,"Johor, Masai"
2020 Perodua Aruz 1.5 AV SUV,RM 686 / month,"RM 52,900",Perodua Aruz,45338 KM,Automatic,"Johor, Masai"
2020 Perodua Myvi 1.5 AV Hatchback,RM 568 / month,"RM 43,800",Perodua Myvi,89164 KM,Automatic,"Johor, Masai"
2019 Toyota Hilux 2.4 L-Edition Dual Cab Pickup - Truck,"RM 1,180 / month","RM 91,000",Toyota Hilux,82866 KM,Automatic,"Johor, Masai"
2019 Honda Civic 1.5 TC-P Sedan - Cantik dan murah,"RM 1,020 / month","RM 78,700",Honda Civic,95 - 100K KM,Automatic,"Penang, Bayan Lepas"
2016 Toyota Vios 1.5 J Sedan - FREE WARRANTY FACELIFT PUSH START LED DAYLIGHT,RM 386 / month,"RM 29,770",Toyota Vios,120 - 125K KM,Automatic,"Selangor, Seri Kembangan"
2015 Toyota Vios 1.5 G Sedan - FREE WARRANTY PUSH START LEATHER SEAT BLACK INTERIOR,RM 412 / month,"RM 31,770",Toyota Vios,120 - 125K KM,Automatic,"Selangor, Seri Kembangan"
2019 BMW X5 2.0 xDrive40e M Sport SUV - FULL SERVICE RECORD FROM AUTO BRAVARIA UNDER WARRANTY FROM AUTO BRAVARIA,"RM 1,112 / month","RM 85,800",BMW X5,80 - 85K KM,Automatic,"Selangor, Kajang"
2017 Ford Ranger 2.2 XLT High Rider Dual Cab Pickup - XLT 4X4 (A) 5-YRS WRRNTY,RM 568 / month,"RM 43,800",Ford Ranger,125 - 130K KM,Automatic,"Perak, Ipoh"
2019 BMW X5 2.0 xDrive40e M Sport SUV - Full Service Record Panoramic Roof Plug-In Hybrid F15 - -,"RM 1,125 / month","RM 86,800",BMW X5,80 - 85K KM,Automatic,"Selangor, Kajang"
2012 Honda City 1.5 E Sedan - FULL SPEC PADDLE SHIFT WARRANTY UNLIMITED CLAIM,RM 219 / month,"RM 16,888",Honda City,100 - 105K KM,Automatic,"Selangor, Seri Kembangan"
2019 BMW X5 2.0 xDrive40e M Sport SUV - FULL SERVICE RECORD FROM AUTO BRAVARIA UNDER WARRANTY FROM AUTO BRAVARIA,"RM 1,125 / month","RM 86,800",BMW X5,80 - 85K KM,Automatic,"Selangor, Kajang"
2023 Toyota Corolla Cross 1.8 V SUV - UNDER WARRANTY GENUINE LOW MILEGAE WITH FULL SERVICE RECORD,"RM 1,191 / month","RM 91,888",Toyota Corolla Cross,25 - 30K KM,Automatic,"Selangor, Seri Kembangan"
2019 BMW X5 2.0 xDrive40e M Sport SUV - FULL SERVICE RECORD FROM AUTO BRAVARIA UNDER WARRANTY FROM AUTO BRAVARIA,"RM 1,138 / month","RM 87,800",BMW X5,80 - 85K KM,Automatic,"Selangor, Kajang"
2022 Isuzu D-Max 1.9 Premium Dual Cab Pickup - FREE WARRANTY LOW MILEAGE PUSH START LEATHER SEAT CRUISE CONTROL,"RM 1,112 / month","RM 85,770",Isuzu D-Max,55 - 60K KM,Automatic,"Selangor, Seri Kembangan"
2019 BMW X5 2.0 xDrive40e M Sport SUV - NICE NOMBER (( 666 )) FULL SERVICE RECORD FROM AUTO BRAVARIA UNDER WARRANTY FROM AUTO BRAVARIA MALAYSIA,"RM 1,112 / month","RM 85,800",BMW X5,70 - 75K KM,Automatic,"Selangor, Kajang"
2021 Mazda CX-5 2.5 SKYACTIV-G High TC SUV - TURBO FULL LCD METER PADDLE SHIFTER POWER TAILGATE 360 CAMERA,"RM 1,177 / month","RM 90,770",Mazda CX-5,25 - 30K KM,Automatic,"Selangor, Seri Kembangan"
2018 Toyota Fortuner 2.4 VRZ SUV - FREE 1YEAR WARRANTY - MINT CONDITION,"RM 1,478 / month","RM 114,000",Toyota Fortuner,115 - 120K KM,Automatic,"Kuala Lumpur, Kepong"
2019 BMW X5 2.0 xDrive40e M Sport SUV - NICE NOMBER (( 666 )) FULL SERVICE RECORD FROM AUTO BRAVARIA UNDER WARRANTY FROM AUTO BRAVARIA MALAYSIA TILL,"RM 1,138 / month","RM 87,800",BMW X5,70 - 75K KM,Automatic,"Selangor, Kajang"
2017 Mazda CX-3 2.0 SKYACTIV-G SUV - FREE WARRANTY SUNROOF POWERED LEATHER SEAT SPORT MODE,RM 554 / month,"RM 42,770",Mazda CX-3,85 - 90K KM,Automatic,"Selangor, Seri Kembangan"
2018 Mercedes-Benz C250 2.0 AMG Line Sedan - FREE WARRANTY AMG WITH SUNROOF BURMESTER SURROND SOUND SYSTEM,"RM 1,190 / month","RM 91,770",Mercedes-Benz C250,65 - 70K KM,Automatic,"Selangor, Seri Kembangan"
2019 BMW X5 2.0 xDrive40e M Sport SUV - NICE NOMBER (( 99 )) 57k mi FULL SERVICE RECORD FROM AUTO BRAVARIA UNDER WARRANTY FROM AUTO BRAVARIA MALAYSIA,"RM 1,125 / month","RM 86,800",BMW X5,55 - 60K KM,Automatic,"Selangor, Kajang"
2016 Mercedes-Benz C200 2.0 Avantgarde Sedan - FREE WARRANTY LOW MILEAGE,RM 801 / month,"RM 61,770",Mercedes-Benz C200,85 - 90K KM,Automatic,"Selangor, Seri Kembangan"
2017 BMW 740Le 2.0 xDrive Sedan - FREE WARRANTY LOW MILEAGE HARMAN KARDON SUNROOF PADDLE SHIFTER,"RM 1,021 / month","RM 78,770",BMW 740Le,35 - 40K KM,Automatic,"Selangor, Seri Kembangan"
2020 Ford Ranger 2.0 Raptor High Rider Dual Cab Pickup - FREE WARRANTY RAPTOR SEMI BUCKET SEAT PADDLE SHIFTER LOW MILEAGE,"RM 1,203 / month","RM 92,770",Ford Ranger,50 - 55K KM,Automatic,"Selangor, Seri Kembangan"
2018 Ford Ranger 2.0 XLT+ High Rider Dual Cab Pickup - XLT High Rider Dual Cab FREE WARRANTY FACELIFT MODEL 10 SPEED,RM 736 / month,"RM 56,770",Ford Ranger,95 - 100K KM,Automatic,"Selangor, Seri Kembangan"
2023 Ford Ranger 3.0 Raptor Dual Cab Pickup - GENUINE 11K KM UNDER WARRANTY RAPTOR SEMI BUCKET SEAT PERFORMANCE LED HEADLAMP FULL DIGITAL METER,"RM 2,447 / month","RM 188,770",Ford Ranger,10 - 15K KM,Automatic,"Selangor, Seri Kembangan"
2019 Proton X70 1.8 Premium SUV - FREE WARRANTY LOW MILEAGE SUNROOF WITH SURROUND SOUND SYSTEN,RM 503 / month,"RM 38,770",Proton X70,35 - 40K KM,Automatic,"Selangor, Seri Kembangan"
2022 BMW X4 2.0 xDrive30i M Sport Driving Assist Pack SUV - FSR 59k mill only Coupe UNDER WARRANTY BY MALAYSIA 2027 SUPER NICE CAR 1 DATIN OWNER,"RM 2,551 / month","RM 196,800",BMW X4,55 - 60K KM,Automatic,"Selangor, Kajang"
2019 Proton X70 1.8 Premium SUV - FREE WARRANTY SUNROOF 360 SURROUND CAMERA,RM 503 / month,"RM 38,770",Proton X70,55 - 60K KM,Automatic,"Selangor, Seri Kembangan"
2024 Volkswagen Tiguan 1.4 Allspace Life IQ.Drive SUV - DWA VW ( VW Pre-Owned ),"RM 1,541 / month","RM 118,888",Volkswagen Tiguan,5 - 10K KM,Automatic,"Selangor, Shah Alam"
2023 Chery Omoda 5 1.5 H SUV - FULL SERVICE RECORD WARRANTY UNTIL 2028,RM 931 / month,"RM 71,800",Chery Omoda 5,5 - 10K KM,Automatic,"Selangor, Cheras"
2017 Perodua Myvi 1.5 AV Hatchback - FREE WARRANTY,RM 412 / month,"RM 31,770",Perodua Myvi,65 - 70K KM,Automatic,"Selangor, Seri Kembangan"
2011 BMW 120i 2.0 Convertible - (E88),"RM 1,164 / month","RM 89,777",BMW 120i,40 - 45K KM,Automatic,"Selangor, Subang Jaya"
2016 Perodua Myvi 1.5 SE Hatchback - FREE WARRANTY ICON RED SPORT AT PROJECTER HEADLAMP,RM 282 / month,"RM 21,770",Perodua Myvi,90 - 95K KM,Automatic,"Selangor, Seri Kembangan"
2019 BMW 318i 1.5 Luxury Sedan - CONVERT M-SPORT FREE WARRANTY SERVICE,RM 723 / month,"RM 55,788",BMW 318i,85 - 90K KM,Automatic,"Kuala Lumpur, Cheras"
2019 BMW X5 2.0 xDrive40e M Sport SUV - FULL SERVICE RECORD 45k mill only FROM AUTO BRAVARIA UNDER WARRANTY FROM AUTO BRAVARIA TILL 2026,"RM 1,112 / month","RM 85,800",BMW X5,80 - 85K KM,Automatic,"Selangor, Kajang"
2015 BMW 520i 2.0 Sedan - FACELIFT (A) F10 LCD Meter WARRANTY,RM 569 / month,"RM 43,900",BMW 520i,90 - 95K KM,Automatic,"Kuala Lumpur, Sungai Besi"
2017 Honda CR-V 2.4 SUV - FREE WARRANTY PADDLE SHIFTER POWERED LEATHER SEAT FACELIFT,RM 593 / month,"RM 45,770",Honda CR-V,125 - 130K KM,Automatic,"Selangor, Seri Kembangan"
2022 Honda CR-V 1.5 TC-P SUV - FREE WARRANTY LOW MILEAGE LANE WATCH PADDLE SHIFT POWERED LEATHER SEAT POWER BOOT,"RM 1,255 / month","RM 96,770",Honda CR-V,55 - 60K KM,Automatic,"Selangor, Seri Kembangan"
2017 Honda CR-V 2.0 SUV - FREE WARRANTY POWERED LEATHER SEAT PADDLE SHIFTER LOW MILEAGE,RM 762 / month,"RM 58,770",Honda CR-V,85 - 90K KM,Automatic,"Selangor, Seri Kembangan"
2015 Honda Accord 2.0 VTi-L Sedan - FREE WARRANTY POWERED LEATHER SEAT,RM 399 / month,"RM 30,770",Honda Accord,80 - 85K KM,Automatic,"Selangor, Serdang"
2016 Honda Accord 2.0 VTi-L Sedan - FACELIFT LANE WATCH POWERED LEATHER SEAT FREE WARRANTY,RM 593 / month,"RM 45,770",Honda Accord,60 - 65K KM,Automatic,"Selangor, Seri Kembangan"
